Data,Produto,Categoria,Vendedor,Regiao,Quantidade,Preco_Unitario,Receita,Custo,Lucro,Avaliacao_Cliente
2024-01-05,Notebook Dell XPS,Eletronicos,Carlos Silva,Sudeste,3,4500.00,13500.00,10125.00,3375.00,4.8
2024-01-08,Smartphone Samsung A54,Eletronicos,Maria Santos,Sul,8,1899.00,15192.00,11394.00,3798.00,4.5
2024-01-12,Cadeira Ergonomica,Moveis,Jose Oliveira,Sudeste,5,890.00,4450.00,2670.00,1780.00,4.2
2024-01-15,Monitor LG 27,Eletronicos,Ana Costa,Nordeste,4,1290.00,5160.00,3612.00,1548.00,4.6
2024-01-18,Mesa Home Office,Moveis,Carlos Silva,Sudeste,2,1450.00,2900.00,1740.00,1160.00,4.0
2024-01-22,iPhone 15 Pro,Eletronicos,Maria Santos,Sul,6,8999.00,53994.00,44997.00,8997.00,4.9
2024-01-25,Teclado Mecanico,Acessorios,Pedro Lima,Centro-Oeste,12,350.00,4200.00,2520.00,1680.00,4.3
2024-01-28,Mouse Wireless,Acessorios,Jose Oliveira,Sudeste,20,89.00,1780.00,1068.00,712.00,4.1
2024-02-01,Notebook Lenovo,Eletronicos,Ana Costa,Nordeste,2,3200.00,6400.00,4480.00,1920.00,4.4
2024-02-05,Webcam HD,Acessorios,Carlos Silva,Sudeste,15,199.00,2985.00,1790.00,1195.00,4.0
2024-02-08,Headset Gamer,Acessorios,Maria Santos,Sul,10,450.00,4500.00,2700.00,1800.00,4.7
2024-02-12,Impressora HP,Eletronicos,Pedro Lima,Centro-Oeste,3,890.00,2670.00,1869.00,801.00,3.9
2024-02-15,Cadeira Presidente,Moveis,Jose Oliveira,Sudeste,4,1890.00,7560.00,4536.00,3024.00,4.5
2024-02-18,Smart TV 55,Eletronicos,Ana Costa,Nordeste,5,3500.00,17500.00,12250.00,5250.00,4.8
2024-02-22,SSD 1TB,Acessorios,Carlos Silva,Sudeste,25,299.00,7475.00,4485.00,2990.00,4.6
2024-02-25,MacBook Air M2,Eletronicos,Maria Santos,Sul,3,9899.00,29697.00,22273.00,7424.00,4.9
2024-02-28,Estante Organizadora,Moveis,Pedro Lima,Centro-Oeste,6,450.00,2700.00,1620.00,1080.00,4.1
2024-03-02,Tablet iPad,Eletronicos,Jose Oliveira,Sudeste,4,4299.00,17196.00,12037.00,5159.00,4.7
2024-03-05,Caixa de Som JBL,Acessorios,Ana Costa,Nordeste,18,189.00,3402.00,2041.00,1361.00,4.4
2024-03-08,Notebook Acer Nitro,Eletronicos,Carlos Silva,Sudeste,2,5600.00,11200.00,7840.00,3360.00,4.5
2024-03-12,Gaveteiro,Moveis,Maria Santos,Sul,8,320.00,2560.00,1536.00,1024.00,4.0
2024-03-15,Console PS5,Eletronicos,Pedro Lima,Centro-Oeste,7,4499.00,31493.00,24495.00,6998.00,4.9
2024-03-18,Hub USB-C,Acessorios,Jose Oliveira,Sudeste,30,79.00,2370.00,1422.00,948.00,4.2
2024-03-22,Smart Watch,Eletronicos,Ana Costa,Nordeste,9,1599.00,14391.00,10074.00,4317.00,4.6
2024-03-25,Poltrona Escritorio,Moveis,Carlos Silva,Sudeste,3,2100.00,6300.00,3780.00,2520.00,4.3
2024-03-28,Carregador Rapido,Acessorios,Maria Santos,Sul,40,89.00,3560.00,2136.00,1424.00,4.1
2024-04-01,PC Gamer Completo,Eletronicos,Pedro Lima,Centro-Oeste,2,8500.00,17000.00,11900.00,5100.00,4.8
2024-04-05,Mesa Gamer,Moveis,Jose Oliveira,Sudeste,5,890.00,4450.00,2670.00,1780.00,4.4
2024-04-08,Fone Bluetooth,Acessorios,Ana Costa,Nordeste,22,259.00,5698.00,3419.00,2279.00,4.5
2024-04-12,Roteador WiFi 6,Acessorios,Carlos Silva,Sudeste,14,399.00,5586.00,3351.00,2235.00,4.3
2024-04-15,Monitor Curvo 34,Eletronicos,Maria Santos,Sul,3,2890.00,8670.00,6069.00,2601.00,4.7
2024-04-18,Arquivo 4 Gavetas,Moveis,Pedro Lima,Centro-Oeste,4,680.00,2720.00,1632.00,1088.00,4.0
2024-04-22,Notebook Asus ROG,Eletronicos,Jose Oliveira,Sudeste,2,7800.00,15600.00,10920.00,4680.00,4.8
2024-04-25,Mousepad XL,Acessorios,Ana Costa,Nordeste,35,49.00,1715.00,1029.00,686.00,4.2
2024-04-28,iPhone 14,Eletronicos,Carlos Silva,Sudeste,5,6999.00,34995.00,27996.00,6999.00,4.6
2024-05-01,Cadeira Diretor,Moveis,Maria Santos,Sul,6,1350.00,8100.00,4860.00,3240.00,4.4
2024-05-05,Pendrive 64GB,Acessorios,Pedro Lima,Centro-Oeste,50,45.00,2250.00,1350.00,900.00,4.1
2024-05-08,Smart TV 65,Eletronicos,Jose Oliveira,Sudeste,4,5200.00,20800.00,14560.00,6240.00,4.9
2024-05-12,Banco Alto,Moveis,Ana Costa,Nordeste,10,220.00,2200.00,1320.00,880.00,3.8
2024-05-15,Samsung Galaxy S24,Eletronicos,Carlos Silva,Sudeste,7,5499.00,38493.00,28870.00,9623.00,4.7
2024-05-18,Cabo HDMI 2.1,Acessorios,Maria Santos,Sul,45,39.00,1755.00,1053.00,702.00,4.3
2024-05-22,All-in-One HP,Eletronicos,Pedro Lima,Centro-Oeste,3,4200.00,12600.00,8820.00,3780.00,4.5
2024-05-25,Estante Livros,Moveis,Jose Oliveira,Sudeste,7,380.00,2660.00,1596.00,1064.00,4.1
2024-05-28,AirPods Pro,Acessorios,Ana Costa,Nordeste,12,1899.00,22788.00,15951.00,6837.00,4.8
2024-06-01,Notebook HP Pavilion,Eletronicos,Carlos Silva,Sudeste,3,3800.00,11400.00,7980.00,3420.00,4.4
